epoch,acc,loss
0,0.766000004858,0.6151347363
1,0.80750000298,0.528248604536
2,0.810500003695,0.512165161967
3,0.812500007153,0.503758409023
4,0.814000000954,0.497471494973
5,0.814000005126,0.482122630775
6,0.809500007033,0.488726472259
7,0.815500001311,0.471235279441
8,0.816000004411,0.461699108779
9,0.809500005245,0.470094733536
10,0.823500002623,0.445960699916
11,0.830000002384,0.434001372457
12,0.821500000954,0.432077675164
13,0.834499999285,0.413557444513
14,0.849000002742,0.394580919147
15,0.848999997377,0.387597835511
16,0.862000001669,0.352454623729
17,0.8675,0.352684961706
18,0.882999994755,0.32179745391
19,0.889999999404,0.303408670574
20,0.895499995351,0.291905488819
21,0.903000003099,0.288870023191
22,0.908499993086,0.271400391981
23,0.908000001907,0.264485090077
24,0.929000000358,0.22004323937
25,0.932999995351,0.208945571184
26,0.934499996305,0.194101899192
27,0.922499997616,0.214654166922
28,0.947499995232,0.169390778989
29,0.940999999642,0.179847401604
