epoch,acc,loss,val_acc,val_loss
0,0.83944132487,0.383127875353,0.889455973307,0.27230130855
1,0.911063387553,0.279425405922,0.919409688314,0.231888207681
2,0.932153294881,0.229264165421,0.908519795736,0.244220336856
3,0.93899323527,0.206180197884,0.935294087728,0.191783965615
4,0.943263343811,0.187639889685,0.938367716471,0.182670455597
5,0.948057085673,0.137928759676,0.941491394043,0.159831339301
6,0.951392512004,0.124893678249,0.934113260905,0.163054967771
7,0.954374437968,0.117286637508,0.94575571696,0.148224118948
8,0.955711433411,0.112555796652,0.934859822591,0.165243597282
9,0.957657984416,0.107447293209,0.943690388997,0.150691460383
