epoch,acc,loss,val_acc,val_loss
0,0.83944132487,0.383127875353,0.889455973307,0.27230130855
1,0.911063387553,0.279425405922,0.919409688314,0.231888207681
2,0.932153294881,0.229264165421,0.908519795736,0.244220336856
3,0.93899323527,0.206180197884,0.935294087728,0.191783965615
4,0.943263343811,0.187639889685,0.938367716471,0.182670455597
5,0.948057085673,0.137928759676,0.941491394043,0.159831339301
6,0.951392512004,0.124893678249,0.934113260905,0.163054967771
7,0.954374437968,0.117286637508,0.94575571696,0.148224118948
8,0.955711433411,0.112555796652,0.934859822591,0.165243597282
9,0.957657984416,0.107447293209,0.943690388997,0.150691460383
10,0.959898506165,0.10076277792,0.944432678223,0.153475173327
11,0.962210795085,0.0947035259396,0.949254048665,0.135654100861
12,0.964485575358,0.0890981945325,0.94197652181,0.15320304038
13,0.965667330424,0.0850064515473,0.942349853516,0.171894269781
14,0.967706817627,0.0789259752426,0.945754394531,0.168712687887
15,0.969006868998,0.0760264705498,0.943115844727,0.154891340223
16,0.970951993306,0.0701429568351,0.945962626139,0.173583237468
17,0.97203704071,0.0676019247226,0.94074798584,0.15660571718
18,0.973367525736,0.0639755596789,0.940854390462,0.155466060288
19,0.974178563436,0.0621868388883,0.94134979248,0.183156912825
20,0.975739123027,0.0581449124501,0.942057189941,0.234362138539
21,0.97659954834,0.0559254631732,0.941815185547,0.19539643627
22,0.97779868571,0.0527946701775,0.940686848958,0.170751194108
23,0.978477256775,0.0511958244554,0.946735331217,0.206648006919
24,0.979882809957,0.0475407759403,0.945843607585,0.210196488757
