epoch,acc,loss
0,0.848085845947,0.358169347143
1,0.910204772949,0.275405503685
2,0.92780960083,0.242174951025
3,0.932822631836,0.233665637677
4,0.937828063965,0.217671496565
5,0.939126800537,0.21090690035
6,0.943550506592,0.201254383315
7,0.94466317749,0.190900218255
8,0.946787322998,0.185563298417
9,0.949209442139,0.174586001592
10,0.95120211792,0.167736025181
11,0.953300476074,0.160074123546
12,0.954074768066,0.155100560622
13,0.954858001709,0.150502127972
14,0.9569559021,0.142399606486
15,0.959658172607,0.133249438869
16,0.96055178833,0.115030397493
17,0.960441802979,0.0991495300501
18,0.964176605225,0.0896727335039
19,0.964671569824,0.0882320556846
20,0.967439361572,0.0804365072493
21,0.96789263916,0.078077205417
22,0.967530914307,0.0804173905093
23,0.970921569824,0.0705815376223
24,0.97161114502,0.0689360182828
25,0.972381072998,0.0661264001324
26,0.973283752441,0.0645094733475
27,0.975111663818,0.0590173718816
28,0.976035583496,0.0569536931786
29,0.976979949951,0.0547137072175
30,0.977484619141,0.0539586259685
31,0.977540588379,0.0536310393935
32,0.978253204346,0.0516030175508
33,0.980067596436,0.0474433890111
34,0.980566467285,0.0458747588056
35,0.980931304932,0.0456563590053
36,0.981962982178,0.0424937894952
37,0.981733581543,0.0431961902132
38,0.98294052124,0.0402149123299
39,0.983096221924,0.0401155196775
40,0.983789642334,0.0385601568948
41,0.984720245361,0.0358951530984
42,0.985248260498,0.0345445126013
43,0.985194671631,0.0350359281221
